,Tags,rata_disability_2013_presence,rata_disability_2013_type,rata_disability_2014_presence,rata_disability_2014_type,rata_disability_2015_presence,rata_disability_2015_type,rata_disability_2016_presence,rata_disability_2016_type,rata_disability_2017_presence,rata_disability_2017_type,rata_disability_2018_presence,rata_disability_2018_type,rata_disability_2021_presence,rata_disability_2021_type,rata_disability_current_expanded_full_presence,rata_disability_current_expanded_full_type,FROM_rata_disability_2013_TO__Action,FROM_rata_disability_2014_TO__Action,FROM_rata_disability_2015_TO__Action,FROM_rata_disability_2016_TO__Action,FROM_rata_disability_2017_TO__Action,FROM_rata_disability_2018_TO__Action,FROM_rata_disability_2021_TO_rata_disability_current_expanded_full_Action,,,,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2021,2021-2022,
0,Changkyun is deaf,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,Addition,40,16,62,101,46,367,636,3847
1,Social Disability,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,Synonymized,8,7,12,21,4,45,3033,
2,Mute!Byleth,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,Canonized,32,9,50,80,42,322,184,
3,dyslexic!JJ,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,No-Change,42,4440,0,0,0,0,0,
4,Deaf Matt Murdock,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,,,,,,,canonized,,,,,,,,,,,
5,Disabled!Patton,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
6,oh nezuko is mute,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
7,Blind Ā-Qìng (Módào Zǔshī),FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,,,,,,,canonized,,,,,,,,,,,
9,Disabled Draco Malfoy,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,canonized,,,,,,,,,,,,
10,hoseok is mute,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
11,selectively mute bruno madrigal,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
12,Ciego Sollux Captor,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
14,Mute Phil,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
15,Mute Prompto Argentum,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,canonized,,,,,,,,,,,,
17,Dsiable,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,,,,,,,,,,,,,,,,,,
18,Lambert has Dyslexia,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
19,Harry is mute,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
20,Wilbur Soot is Deaf,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
21,due to disability disadvantages,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,,,,,,,,,
22,Mute The Meta | Agent Maine,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,canonized,,,,,,,,,,,,
23,Legal Blind,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
24,asphonia,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
26,mute peter,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
27,Deaf!Laura,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
28,blind eli clark,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
29,zayn is deaf,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
30,Blind Kanan Jarrus,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,TRUE,canonical_tag,TRUE,canonical_tag,,,,canonized,,,,,,,,,,,,,,
31,cego,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
32,bucky is blind,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
33,disabled roman,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
34,Blind Soldier: 76,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,TRUE,canonical_tag,TRUE,syn_tag,,,,canonized,,,synonymized,,,,,,,,,,,
35,deaf Ethan AU,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
36,blinddeku,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
37,tyler doesn't talk,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,synonymized,,,,,,,,,,,
