,Tags,rata_disability_2013_presence,rata_disability_2013_type,rata_disability_2014_presence,rata_disability_2014_type,rata_disability_2015_presence,rata_disability_2015_type,rata_disability_2016_presence,rata_disability_2016_type,rata_disability_2017_presence,rata_disability_2017_type,rata_disability_2018_presence,rata_disability_2018_type,rata_disability_2021_presence,rata_disability_2021_type,rata_disability_current_expanded_full_presence,rata_disability_current_expanded_full_type,FROM_rata_disability_2013_TO__Action,FROM_rata_disability_2014_TO__Action,FROM_rata_disability_2015_TO__Action,FROM_rata_disability_2016_TO__Action,FROM_rata_disability_2017_TO__Action,FROM_rata_disability_2018_TO__Action,FROM_rata_disability_2021_TO_rata_disability_current_expanded_full_Action,,,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2021,2021-2022
0,Mute Aziraphale,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,Addition,40,16,62,101,46,366,4223
1,Dyslexic Okumura Rin,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,canonical_tag,TRUE,canonical_tag,,,,,,addition,,,Removed,2,0,0,5,5,4,0
2,disabled izuku,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,Synonymized,0,0,0,15,15,43,6
3,Heavenly Restrictions are a disability metaphor thank you for coming to my TED Talk,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,Canonized,0,0,0,0,0,0,184
4,Deaf!Wooley,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,No-Change,1048533,1048559,1048513,1048454,1048509,1048162,1044162
5,Disable,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,TRUE,syn_tag,,,,,,,,,,,,,,,,
6,chell is still mute,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
7,Disability headcanons,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,,,,,,,
8,Newt also has issues with his disability,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,freeform_tag,,,,,,,addition,,,,,,,,,
9,Ciego!Kurt,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
10,Dyslexic Eren Yaeger,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
11,jungkook is in a wheelchair,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
12,Paraplegic!Sam,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,syn_tag,,,,,,,addition,,,,,,,,,
