Tags,rata_disability_2013_precence,rata_disability_current_expanded_full_presence,rata_disability_2013_type,rata_disability_current_expanded_full_type,Action
mute ashton,False,True,,synned_tag,addition
Blind!Tim au,False,True,,synned_tag,addition
Blind Sean McLoughlin,False,True,,canonical_tag,addition
Deaf Tony Stark_synned_tags,False,True,,connection_node,addition
Oh also Hobi is blind,False,True,,synned_tag,addition
Mute Severus Snape,False,True,,canonical_tag,addition
disability visibility,False,True,,freeform_tag,addition
Deaf Tony Stark,False,True,,canonical_tag,addition
cieco,False,True,,synned_tag,addition
Blind!Adrien,False,True,,synned_tag,addition
Disabled Kim Taehyung | V_synned_tags,False,True,,connection_node,addition
Disabled TommyInnit (Video Blogging RPF)_synned_tags,False,True,,connection_node,addition
Dyslexic Dewey Duck (Disney)_synned_tags,False,True,,connection_node,addition
Blindizuku,False,True,,synned_tag,addition
Blind Bill Cipher_synned_tags,False,True,,connection_node,addition
disabled Essek,False,True,,synned_tag,addition
disability and recovery,False,True,,freeform_tag,addition
He's blinded,False,True,,synned_tag,addition
Disabled Jeon Jungkook,False,True,,canonical_tag,addition
deaf!zayn,False,True,,synned_tag,addition
Mute Draco Malfoy_synned_tags,False,True,,connection_node,addition
Mention of Disability,False,True,,freeform_tag,addition
This will treat Remus kind of like he's disabled,False,True,,synned_tag,addition
deaf iwaizumi,False,True,,synned_tag,addition
Scott is Blind,False,True,,synned_tag,addition
Mute Harry Styles_synned_tags,False,True,,connection_node,addition
jjk is blind,False,True,,synned_tag,addition
Deaf!Jon,False,True,,synned_tag,addition
Disability Issues,True,True,synned_tag,synned_tag,
The one where Derek is deaf,False,True,,synned_tag,addition
Dyslexic Scout,False,True,,synned_tag,addition
"Disabled Jonathan ""Jon"" Sims | The Archivist_synned_tags",False,True,,connection_node,addition
Blind!Lumine AU,False,True,,synned_tag,addition
Disabled WWX,False,True,,synned_tag,addition
Visually Impaired Dick Grayson,False,True,,synned_tag,addition
Blind Floris | Fundy,False,True,,canonical_tag,addition
disabled harry aswell,False,True,,synned_tag,addition
Deaf Victoria (Cats)_synned_tags,False,True,,connection_node,addition
deaf!carmilla deaf carmilla,False,True,,synned_tag,addition
Deafened Castiel,False,True,,synned_tag,addition
due to disability disadvantages,False,True,,freeform_tag,addition
tae is blind,False,True,,synned_tag,addition
Major warning for a character getting severly hurt and being disabled,False,True,,synned_tag,addition
Blind!Connor,False,True,,synned_tag,addition
mute dick,False,True,,synned_tag,addition
Blind Soldier: 76 | Jack Morrison_synned_tags,False,True,,connection_node,addition
also: mute main player sort of character,False,True,,synned_tag,addition
references to past disability,False,True,,freeform_tag,addition
Selectively Mute Characters,False,True,,synned_tag,addition
Mute Shinso,False,True,,synned_tag,addition
Deaf Hermione Granger,False,True,,canonical_tag,addition
liam is mute,False,True,,synned_tag,addition
Disabled Park Jimin (BTS),False,True,,canonical_tag,addition
Blind Remus Lupin_synned_tags,False,True,,connection_node,addition
Alfred is blind too,False,True,,synned_tag,addition
Disabled Protagonists,False,True,,synned_tag,addition
Blind LWJ,False,True,,synned_tag,addition
Deaf!Laura,False,True,,synned_tag,addition
blind Merlin,False,True,,synned_tag,addition
like he's actually blind,False,True,,synned_tag,addition
Mute Mark Fischbach,False,True,,canonical_tag,addition
Deaf Peter,False,True,,synned_tag,addition
Paralyzed Charles Xavier_synned_tags,False,True,,connection_node,addition
Physical Disability Rec,False,True,,freeform_tag,addition
dissabilites,False,True,,synned_tag,addition
Deaf Lee Jooheon (Monsta X),False,True,,canonical_tag,addition
James is legally blind,False,True,,synned_tag,addition
Lena is blind,False,True,,synned_tag,addition
#deaf!Derek,False,True,,synned_tag,addition
Deaf Alexander Hamilton,False,True,,canonical_tag,addition
Hearing lost,False,True,,synned_tag,addition
deaf!Todoroki,False,True,,synned_tag,addition
mute!Noct,False,True,,synned_tag,addition
Mute Jensen,False,True,,synned_tag,addition
disability au bc we need more of that,False,True,,freeform_tag,addition
This isn’t to fetishise disability!,False,True,,freeform_tag,addition
Blind Marco Bott,False,True,,canonical_tag,addition
negative attitudes to disability,False,True,,freeform_tag,addition
Blind! V,False,True,,synned_tag,addition
Semi-Mute Jason,False,True,,synned_tag,addition
(its my story i choose who gets my mental disability),False,True,,freeform_tag,addition
chell is mute and communicates through sign,False,True,,synned_tag,addition
Deaf Stiles,True,True,canonical_tag,synned_tag,sinonized
Mute Louis Tomlinson,False,True,,canonical_tag,addition
Mute!Liam,False,True,,synned_tag,addition
Second gender disabilities,False,True,,synned_tag,addition
Deaf Ben,False,True,,synned_tag,addition
Gojo is legally blind,False,True,,synned_tag,addition
Blind! John Egbert,False,True,,synned_tag,addition
they have a mute child,False,True,,synned_tag,addition
is the physical disability,False,True,,freeform_tag,addition
Deaf!Lexa,False,True,,synned_tag,addition
Blind!Kirk,False,True,,synned_tag,addition
Like fully deaf,False,True,,synned_tag,addition
kim taehyung is blind,False,True,,synned_tag,addition
She doesn't talk because of trauma,False,True,,synned_tag,addition
Deaf Kim Taehyung | V_synned_tags,False,True,,connection_node,addition
Deaf in one ear,False,True,,synned_tag,addition
partially deaf! miyuki au,False,True,,synned_tag,addition
Mute Louis Tomlinson_synned_tags,False,True,,connection_node,addition
mute!Blaine,False,True,,synned_tag,addition
Blind!Tony Stark,False,True,,synned_tag,addition
Mute Alec Lightwood,False,True,,canonical_tag,addition
mute!jimin,False,True,,synned_tag,addition
HoH!Harry,False,True,,synned_tag,addition
Blind Roman,False,True,,synned_tag,addition
Mute Wild (Linked Universe),False,True,,canonical_tag,addition
Shiro is blind,False,True,,synned_tag,addition
Blind Michael Clifford,False,True,,canonical_tag,addition
Mute Marco Bott_synned_tags,False,True,,connection_node,addition
insensitive language around mental and physical disability seen in this time period,False,True,,freeform_tag,addition
Deaf Root | Samantha Groves_synned_tags,False,True,,connection_node,addition
deaf/hoh hinata,False,True,,synned_tag,addition
Canon Disabled Character_synned_tags,False,True,,connection_node,addition
