,Tags,H_presence,G_presence,H_type,G_type,Action
0,Deaf Character,TRUE,TRUE,canonical_tag,canonical_tag,
1,Deaf Kim Namjoon | RM,TRUE,TRUE,canonical_tag,canonical_tag,
2,Mute GeorgeNotFound (Video Blogging RPF),FALSE,TRUE,,canonical_tag,addition
3,Blind Wilbur Soot,FALSE,TRUE,,canonical_tag,addition
4,Deaf Karkat Vantas,TRUE,TRUE,canonical_tag,canonical_tag,
5,Deaf Peter Hale,TRUE,TRUE,canonical_tag,canonical_tag,
6,Blind Kozume Kenma,TRUE,TRUE,canonical_tag,canonical_tag,
7,adjusting to a disability,TRUE,TRUE,synned_tag,synned_tag,
8,badly represented disabilities,TRUE,TRUE,synned_tag,synned_tag,
9,disabilities everywhere,TRUE,TRUE,synned_tag,synned_tag,
10,Disabled Anxiety | Virgil Sanders,FALSE,TRUE,,canonical_tag,addition
11,Selectively Mute Victor Grantz | Postman,TRUE,TRUE,canonical_tag,canonical_tag,
12,Mute Midoriya Izuku,TRUE,TRUE,canonical_tag,canonical_tag,
13,Blind TommyInnit (Video Blogging RPF),FALSE,TRUE,,canonical_tag,addition
14,Blind Ashton Irwin,TRUE,TRUE,canonical_tag,canonical_tag,
15,Disabled Steve Rogers,FALSE,TRUE,,canonical_tag,addition
16,Blind Todoroki Shouto,TRUE,TRUE,canonical_tag,canonical_tag,
17,Deaf Lee Jooheon (Monsta X),FALSE,TRUE,,canonical_tag,addition
18,invalidez,FALSE,TRUE,,synned_tag,addition
19,Hidden Disabiltys,FALSE,TRUE,,synned_tag,addition
20,mild disability,FALSE,TRUE,,synned_tag,addition
21,Disabled Harry Potter,TRUE,TRUE,canonical_tag,canonical_tag,
22,Deaf Sam Winchester,TRUE,TRUE,canonical_tag,canonical_tag,
23,Mute Jared Padalecki,TRUE,TRUE,canonical_tag,canonical_tag,
24,Disabled Eddie Kaspbrak,TRUE,TRUE,canonical_tag,canonical_tag,
25,prompt - disabilities,TRUE,TRUE,synned_tag,synned_tag,
26,Disabled Min Yoongi | Suga,TRUE,TRUE,canonical_tag,canonical_tag,
27,Dyslexic Harry Styles,TRUE,TRUE,canonical_tag,canonical_tag,
28,Mute Zuko (Avatar),FALSE,TRUE,,canonical_tag,addition
29,Disabled Eren Yeager,TRUE,TRUE,canonical_tag,canonical_tag,
30,Blind Xu Ming Hao | The8,FALSE,TRUE,,canonical_tag,addition
31,Mute Richie Tozier,TRUE,TRUE,canonical_tag,canonical_tag,
32,Blind Merlin (Merlin),TRUE,TRUE,canonical_tag,canonical_tag,
33,Mute Six (Little Nightmares),FALSE,TRUE,,canonical_tag,addition
34,Blind Iwaizumi Hajime,TRUE,TRUE,canonical_tag,canonical_tag,
35,Handicap,TRUE,TRUE,synned_tag,synned_tag,
36,Deaf Jason Grace,TRUE,TRUE,canonical_tag,canonical_tag,
37,Blind Eli Clark | Seer,TRUE,TRUE,canonical_tag,canonical_tag,
38,hinted disability,TRUE,TRUE,synned_tag,synned_tag,
39,Mute Severus Snape,FALSE,TRUE,,canonical_tag,addition
40,Blind Hiro Hamada,TRUE,TRUE,canonical_tag,canonical_tag,
41,Blind Marinette Dupain-Cheng,TRUE,TRUE,canonical_tag,canonical_tag,
42,Deaf Jason Todd,TRUE,TRUE,canonical_tag,canonical_tag,
43,Blind Jaskier | Dandelion,TRUE,TRUE,canonical_tag,canonical_tag,
44,disabillity,TRUE,TRUE,synned_tag,synned_tag,
45,Deaf Tony Stark,FALSE,TRUE,,canonical_tag,addition
46,Dyslexic Eren Yeager,FALSE,TRUE,,canonical_tag,addition
47,Blind Tartaglia | Childe (Genshin Impact),FALSE,TRUE,,canonical_tag,addition
48,Dyslexic Dean Winchester,TRUE,TRUE,canonical_tag,canonical_tag,
49,mental and physical disabilities,FALSE,TRUE,,synned_tag,addition
50,Mute Draco Malfoy,TRUE,TRUE,canonical_tag,canonical_tag,
51,Mute Neil Josten,TRUE,TRUE,canonical_tag,canonical_tag,
52,Deaf Sawamura Daichi,TRUE,TRUE,canonical_tag,canonical_tag,
53,Blind Lexa (The 100),TRUE,TRUE,canonical_tag,canonical_tag,
54,Deaf Victoria (Cats),FALSE,TRUE,,canonical_tag,addition
55,mentions of disability,TRUE,TRUE,synned_tag,synned_tag,
56,Blind Bilbo Baggins,TRUE,TRUE,canonical_tag,canonical_tag,
57,Other disabilities,TRUE,TRUE,synned_tag,synned_tag,
58,Disabled Levi Ackerman,FALSE,TRUE,,canonical_tag,addition
59,Blind Liam Payne,TRUE,TRUE,canonical_tag,canonical_tag,
60,Deaf Spock (Star Trek),TRUE,TRUE,canonical_tag,canonical_tag,
61,Mute Harry Styles,TRUE,TRUE,canonical_tag,canonical_tag,
62,Dyslexic Okumura Rin,TRUE,TRUE,canonical_tag,canonical_tag,
