,Tags,rata_disability_2013_presence,rata_disability_2013_type,rata_disability_2014_presence,rata_disability_2014_type,rata_disability_2015_presence,rata_disability_2015_type,rata_disability_2016_presence,rata_disability_2016_type,rata_disability_2017_presence,rata_disability_2017_type,rata_disability_2018_presence,rata_disability_2018_type,rata_disability_2021_presence,rata_disability_2021_type,rata_disability_current_expanded_full_presence,rata_disability_current_expanded_full_type,FROM_rata_disability_2013_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2014_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2015_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2016_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2017_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2018_TO_rata_disability_current_expanded_full_Action,FROM_rata_disability_2021_TO_rata_disability_current_expanded_full_Action
0,Blind Kim Seungmin_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node,addition,addition,addition,addition,addition,addition,addition
1,disablity tw,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
2,Temporarily Blind Tobirama,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
3,Mute Ren,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
4,Dyslexic Lambert,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
5,blind mari,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
6,Blind Jared Padalecki,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,addition,addition,
7,Blind! Dipper,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
8,Noriaki Kakyoin is Disabled,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
9,Mute Louis,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,addition,,,,,,
10,Character Adjusts To Newly Acquired Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag,addition,addition,addition,addition,addition,addition,addition
11,disabled!Jon,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
12,He's blinded,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
13,Deaf Jason Grace,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,addition,addition,addition,addition,addition,addition,
14,#blind!Stiles,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
15,Def!Harry,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
16,deaf patient,False,,False,,False,,False,,False,,False,,False,,True,synned_tag,addition,addition,addition,addition,addition,addition,addition
