,Tags,rata_disability_2013.json_presence,rata_disability_2013.json_type,rata_disability_2014.json_presence,rata_disability_2014.json_type,rata_disability_2015.json_presence,rata_disability_2015.json_type,rata_disability_2016.json_presence,rata_disability_2016.json_type,rata_disability_2017.json_presence,rata_disability_2017.json_type,rata_disability_2018.json_presence,rata_disability_2018.json_type,rata_disability_2021.json_presence,rata_disability_2021.json_type,rata_disability_current_expanded_full.json_presence,rata_disability_current_expanded_full.json_type
0,Implied Blind Roy Mustang,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
1,dean is blind idiot,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
2,Disabled Eddie Kaspbrak_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
3,Disabled Min Yoongi | Suga_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
4,Mute John is my babe i love him,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
5,Disabled Barry Allen_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
6,deaf mic,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
7,Disabled Logan Sanders,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
8,blind!steve,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
9,blind!yamaguchi,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
10,Warning - Physical Disability,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
11,canon character with disability,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
12,Jin has a mental disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
13,Blind Erwin Smith_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
14,And Lonnie being responsible for Terry's permanent disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
15,blind toph,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
16,Blind Yagami Light_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
17,Mute Dirk Strider_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
18,jack goes blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
19,Deaf Kara,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
20,depictions of disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
21,Tubbo has dyslexia,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
22,Half-blind Dream,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
23,Blind! Soldier: 76,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
24,Deaf Jean Kirstein,False,,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag
25,Non-Canon Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
26,轻微肢体伤残,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
27,selectively mute Wild,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
28,Deaf Matt Murdock,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
29,Selectively Mute Persona 5 Protagonist,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
30,Slightly Dyslexic Clint,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
31,Blind Jean,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
32,mute tubbo,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
33,deaf changkyun,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
34,unknown learning disability,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
35,Deaf!Seokjin,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
36,Mute Zayn Malik_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
37,Deaf Derek Hale,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag
38,blind iwa,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
39,Deaf Min Yoongi | Suga,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag,True,canonical_tag,True,canonical_tag
40,blind childe,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
41,Deaf Morality | Patton Sanders_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
42,Mute! Lan Wangji,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
43,Selectively Mute Jeon Jungkook_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
44,Mute Prompto Argentum (sort of),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
45,Part of my deaf!Jon series that I'm writing now apparently,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
46,Non-Permanent Vision Loss,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
47,Blind Hiro Hamada_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
48,Mute Clay | Dream (Video Blogging RPF)_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
49,hoseok is deaf,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
50,Blind!Namjoon,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
51,Selectively Mute Runner Five,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
52,Semi-Mute Jason,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
53,Blind Tommyinnit,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
54,Selectively Mute Toby Smith | Tubbo,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
55,Learning Disability Au,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
56,blindness.,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
57,basically clarke is blind,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
58,Disabled Charles Xavier,False,,False,,False,,False,,False,,False,,True,canonical_tag,True,canonical_tag
59,Mute Wild (Linked Universe)_synned_tags,False,,False,,False,,False,,False,,False,,False,,True,connection_node
60,Blind Castiel (Temporarily),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
61,blind Ignis POV,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
62,also mute dave,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
63,Mute Remus Sanders,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
64,Character Disability,False,,False,,False,,False,,False,,False,,False,,True,freeform_tag
65,Deaf! Harry,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
66,Disabled Levi Ackerman,False,,False,,False,,False,,False,,False,,False,,True,canonical_tag
67,Disability discussion,False,,False,,False,,False,,False,,False,,True,synned_tag,True,synned_tag
68,Character Affected: Dean Winchester,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
69,dyslexic Reggie (referenced),False,,False,,False,,False,,False,,False,,False,,True,synned_tag
70,physically disabled,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
71,Cecil is Disabled,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
72,Victor is selectively mute :0,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
73,Mute!Bumblebee,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
74,Harry is selectively mute,False,,False,,False,,False,,False,,False,,False,,True,synned_tag
